NAME,min,max
"""Мосрентген""",-17.9,-14.8
Академический,-8.9,-3.7
Алексеевский,-7.7,-3.1
Алтуфьевский,-14.2,-10.9
Арбат,-2.1,1.1
Аэропорт,-8.6,-2.5
Бабушкинский,-14.1,-9.0
Басманный,-4.9,2.1
Беговой,-5.0,-1.1
Бескудниковский,-13.9,-9.1
Бибирево,-16.1,-11.9
Бирюлёво Восточное,-20.2,-14.2
Бирюлёво Западное,-19.8,-15.4
Богородское,-9.3,-5.2
Братеево,-16.2,-12.9
Бутырский,-8.2,-2.4
Вешняки,-13.3,-9.3
Внуково,-29.9,-22.6
Внуковское,-26.5,-19.3
Войковский,-12.4,-6.9
Вороновское,-57.3,-50.9
Воскресенское,-28.3,-23.9
Восточное Дегунино,-15.1,-9.3
Восточное Измайлово,-13.7,-9.2
Восточный,-29.5,-13.9
Выхино-Жулебино,-16.7,-9.2
Гагаринский,-8.8,-2.8
Головинский,-13.3,-9.0
Гольяново,-14.6,-6.9
Даниловский,-6.8,-1.3
Десёновское,-33.7,-27.2
Дмитровский,-16.5,-11.8
Донской,-6.8,-1.6
Дорогомилово,-7.0,-0.7
Замоскворечье,-3.1,2.1
Западное Дегунино,-16.5,-10.3
Зюзино,-12.2,-7.8
Зябликово,-17.4,-13.6
Ивановское,-13.2,-9.3
Измайлово,-11.9,-5.5
Капотня,-17.8,-12.7
Киевский,-60.4,-57.0
Клёновское,-50.2,-48.2
Кокошкино,-33.1,-29.6
Коньково,-15.0,-9.9
Коптево,-10.9,-6.4
Косино-Ухтомский,-17.8,-12.5
Котловка,-9.5,-4.9
Краснопахорское,-41.9,-36.5
Красносельский,-3.4,2.1
Крылатское,-15.1,-8.1
Крюково,-39.0,-33.2
Кузьминки,-11.8,-6.9
Кунцево,-16.5,-9.0
Куркино,-22.0,-17.3
Левобережный,-16.0,-11.2
Лефортово,-5.8,-0.5
Лианозово,-16.9,-12.6
Ломоносовский,-10.4,-6.7
Лосиноостровский,-15.2,-10.4
Люблино,-14.6,-8.2
Марушкинское,-36.3,-29.0
Марфино,-10.0,-5.1
Марьина Роща,-5.5,-0.9
Марьино,-14.5,-10.2
Матушкино,-38.0,-34.2
Метрогородок,-11.6,-7.5
Мещанский,-3.1,2.1
Митино,-20.3,-14.5
Михайлово-Ярцевское,-49.4,-44.1
Можайский,-15.1,-8.8
Молжаниновский,-26.9,-24.9
Москворечье-Сабурово,-14.5,-9.9
Московский,-24.5,-13.7
Нагатино-Садовники,-10.5,-5.8
Нагатинский Затон,-9.7,-4.9
Нагорный,-12.3,-5.0
Некрасовка,-20.6,-16.6
Нижегородский,-8.4,-2.8
Новогиреево,-12.2,-7.3
Новокосино,-15.5,-11.5
Ново-Переделкино,-21.2,-16.3
Новофёдоровское,-56.1,-48.8
Обручевский,-13.9,-7.8
Орехово-Борисово Северное,-17.0,-13.2
Орехово-Борисово Южное,-18.8,-15.1
Останкинский,-7.4,-2.9
Отрадное,-13.3,-8.1
Очаково-Матвеевское,-14.5,-6.8
Первомайское,-41.2,-31.7
Перово,-10.9,-5.5
Печатники,-12.4,-6.6
Покровское-Стрешнево,-15.0,-9.1
Преображенское,-9.0,-3.7
Пресненский,-5.5,2.1
Проспект Вернадского,-11.7,-8.5
Раменки,-11.3,-3.0
Роговское,-71.0,-66.9
Ростокино,-9.4,-6.0
Рязановское,-34.4,-27.0
Рязанский,-11.4,-5.9
Савёлки,-37.0,-32.3
Савёловский,-6.1,-2.3
Свиблово,-11.6,-8.0
Северное Бутово,-21.3,-17.4
Северное Измайлово,-13.7,-7.4
Северное Медведково,-15.3,-11.3
Северное Тушино,-17.2,-12.8
Северный,-22.2,-15.4
Силино,-38.4,-35.0
Сокол,-10.0,-5.4
Соколиная Гора,-7.9,-3.4
Сокольники,-6.3,-2.0
Солнцево,-19.4,-13.0
Сосенское,-25.1,-17.4
Старое Крюково,-37.1,-34.0
Строгино,-15.4,-11.1
Таганский,-4.1,2.1
Тверской,-3.4,2.1
Текстильщики,-10.5,-5.3
Тёплый Стан,-17.0,-12.2
Тимирязевский,-10.3,-3.9
Троицк,-37.9,-31.7
Тропарёво-Никулино,-15.0,-9.8
Филёвский Парк,-8.5,-4.2
Фили-Давыдково,-10.8,-6.2
Филимонковское,-29.5,-23.5
Хамовники,-4.1,2.1
Ховрино,-15.7,-10.9
Хорошёво-Мнёвники,-11.0,-4.1
Хорошёвский,-7.5,-2.5
Царицыно,-15.3,-11.1
Черёмушки,-11.7,-6.6
Чертаново Северное,-14.3,-10.4
Чертаново Центральное,-16.4,-12.3
Чертаново Южное,-19.2,-13.9
Щаповское,-44.5,-37.1
Щербинка,-29.2,-24.3
Щукино,-12.0,-6.2
Южное Бутово,-28.0,-19.8
Южное Медведково,-13.4,-10.0
Южное Тушино,-16.7,-11.1
Южнопортовый,-7.0,-1.4
Якиманка,-2.9,2.1
Ярославский,-15.0,-8.7
Ясенево,-18.4,-13.3
