NAME,min,max
"""Мосрентген""",36.0,69.0
Академический,0.0,34.0
Алексеевский,0.0,36.0
Алтуфьевский,0.0,54.0
Арбат,0.0,26.0
Аэропорт,0.0,34.0
Бабушкинский,0.0,35.0
Басманный,0.0,27.0
Беговой,0.0,41.0
Бескудниковский,0.0,35.0
Бибирево,0.0,44.0
Бирюлёво Восточное,13.0,94.0
Бирюлёво Западное,44.0,90.0
Богородское,0.0,45.0
Братеево,0.0,38.0
Бутырский,0.0,32.0
Вешняки,0.0,45.0
Внуково,50.0,147.0
Внуковское,1.0,106.0
Войковский,0.0,41.0
Вороновское,470.0,533.0
Воскресенское,11.0,168.0
Восточное Дегунино,0.0,61.0
Восточное Измайлово,0.0,42.0
Восточный,43.0,334.0
Выхино-Жулебино,0.0,57.0
Гагаринский,0.0,49.0
Головинский,0.0,50.0
Гольяново,0.0,56.0
Даниловский,0.0,54.0
Десёновское,134.0,216.0
Дмитровский,10.0,65.0
Донской,0.0,29.0
Дорогомилово,0.0,29.0
Замоскворечье,0.0,34.0
Западное Дегунино,0.0,61.0
Зюзино,0.0,39.0
Зябликово,0.0,30.0
Ивановское,0.0,62.0
Измайлово,0.0,38.0
Капотня,27.0,111.0
Киевский,647.0,721.0
Клёновское,394.0,414.0
Кокошкино,136.0,179.0
Коньково,0.0,39.0
Коптево,0.0,42.0
Косино-Ухтомский,0.0,48.0
Котловка,0.0,36.0
Краснопахорское,291.0,331.0
Красносельский,0.0,25.0
Крылатское,0.0,70.0
Крюково,209.0,291.0
Кузьминки,0.0,38.0
Кунцево,0.0,77.0
Куркино,36.0,96.0
Левобережный,0.0,39.0
Лефортово,0.0,33.0
Лианозово,0.0,49.0
Ломоносовский,0.0,37.0
Лосиноостровский,2.0,59.0
Люблино,0.0,65.0
Марушкинское,112.0,270.0
Марфино,0.0,39.0
Марьина Роща,0.0,29.0
Марьино,0.0,46.0
Матушкино,266.0,312.0
Метрогородок,0.0,45.0
Мещанский,0.0,26.0
Митино,0.0,45.0
Михайлово-Ярцевское,392.0,470.0
Можайский,14.0,101.0
Молжаниновский,153.0,173.0
Москворечье-Сабурово,0.0,62.0
Московский,0.0,109.0
Нагатино-Садовники,0.0,39.0
Нагатинский Затон,0.0,53.0
Нагорный,0.0,29.0
Некрасовка,0.0,61.0
Нижегородский,0.0,42.0
Новогиреево,0.0,36.0
Новокосино,0.0,41.0
Ново-Переделкино,0.0,55.0
Новофёдоровское,517.0,709.0
Обручевский,0.0,39.0
Орехово-Борисово Северное,0.0,38.0
Орехово-Борисово Южное,0.0,36.0
Останкинский,0.0,35.0
Отрадное,0.0,42.0
Очаково-Матвеевское,0.0,77.0
Первомайское,237.0,402.0
Перово,0.0,42.0
Печатники,0.0,62.0
Покровское-Стрешнево,0.0,52.0
Преображенское,0.0,30.0
Пресненский,0.0,34.0
Проспект Вернадского,0.0,42.0
Раменки,0.0,72.0
Роговское,673.0,697.0
Ростокино,0.0,36.0
Рязановское,63.0,188.0
Рязанский,0.0,35.0
Савёлки,264.0,325.0
Савёловский,0.0,34.0
Свиблово,0.0,30.0
Северное Бутово,0.0,79.0
Северное Измайлово,0.0,45.0
Северное Медведково,0.0,41.0
Северное Тушино,0.0,45.0
Северный,56.0,127.0
Силино,246.0,295.0
Сокол,0.0,30.0
Соколиная Гора,0.0,35.0
Сокольники,0.0,32.0
Солнцево,0.0,48.0
Сосенское,11.0,105.0
Старое Крюково,235.0,278.0
Строгино,0.0,40.0
Таганский,0.0,40.0
Тверской,0.0,28.0
Текстильщики,0.0,35.0
Тёплый Стан,0.0,51.0
Тимирязевский,0.0,59.0
Троицк,204.0,273.0
Тропарёво-Никулино,0.0,40.0
Филёвский Парк,0.0,65.0
Фили-Давыдково,0.0,61.0
Филимонковское,103.0,205.0
Хамовники,0.0,29.0
Ховрино,0.0,44.0
Хорошёво-Мнёвники,0.0,62.0
Хорошёвский,0.0,39.0
Царицыно,0.0,47.0
Черёмушки,0.0,42.0
Чертаново Северное,0.0,37.0
Чертаново Центральное,0.0,41.0
Чертаново Южное,0.0,36.0
Щаповское,295.0,341.0
Щербинка,27.0,101.0
Щукино,0.0,44.0
Южное Бутово,0.0,116.0
Южное Медведково,2.0,53.0
Южное Тушино,0.0,54.0
Южнопортовый,0.0,28.0
Якиманка,0.0,27.0
Ярославский,20.0,95.0
Ясенево,0.0,46.0
