NAME,NAME_MO_eng
"""Мосрентген""",Poselenie Mosrentgen
Академический,Akademicheskoe
Алексеевский,Alekseevskoe
Алтуфьевский,Altuf'evskoe
Арбат,Arbat
Аэропорт,Ajeroport
Бабушкинский,Babushkinskoe
Басманный,Basmannoe
Беговой,Begovoe
Бескудниковский,Beskudnikovskoe
Бибирево,Bibirevo
Бирюлёво Восточное,Birjulevo Vostochnoe
Бирюлёво Западное,Birjulevo Zapadnoe
Богородское,Bogorodskoe
Братеево,Brateevo
Бутырский,Butyrskoe
Вешняки,Veshnjaki
Внуково,Vnukovo
Внуковское,Poselenie Vnukovskoe
Войковский,Vojkovskoe
Вороновское,Poselenie Voronovskoe
Воскресенское,Poselenie Voskresenskoe
Восточное Дегунино,Vostochnoe Degunino
Восточное Измайлово,Vostochnoe Izmajlovo
Восточный,Vostochnoe
Выхино-Жулебино,Vyhino-Zhulebino
Гагаринский,Gagarinskoe
Головинский,Golovinskoe
Гольяново,Gol'janovo
Даниловский,Danilovskoe
Десёновское,Poselenie Desjonovskoe
Дмитровский,Dmitrovskoe
Донской,Donskoe
Дорогомилово,Dorogomilovo
Замоскворечье,Zamoskvorech'e
Западное Дегунино,Zapadnoe Degunino
Зюзино,Zjuzino
Зябликово,Zjablikovo
Ивановское,Ivanovskoe
Измайлово,Izmajlovo
Капотня,Kapotnja
Киевский,Poselenie Kievskij
Клёновское,Poselenie Klenovskoe
Кокошкино,Poselenie Kokoshkino
Коньково,Kon'kovo
Коптево,Koptevo
Косино-Ухтомский,Kosino-Uhtomskoe
Котловка,Kotlovka
Краснопахорское,Poselenie Krasnopahorskoe
Красносельский,Krasnosel'skoe
Крылатское,Krylatskoe
Крюково,Krjukovo
Кузьминки,Kuz'minki
Кунцево,Kuncevo
Куркино,Kurkino
Левобережный,Levoberezhnoe
Лефортово,Lefortovo
Лианозово,Lianozovo
Ломоносовский,Lomonosovskoe
Лосиноостровский,Losinoostrovskoe
Люблино,Ljublino
Марушкинское,Poselenie Marushkinskoe
Марфино,Marfino
Марьина Роща,Mar'ina Roshha
Марьино,Mar'ino
Матушкино,Matushkino
Метрогородок,Metrogorodok
Мещанский,Meshhanskoe
Митино,Mitino
Михайлово-Ярцевское,Poselenie Mihajlovo-Jarcevskoe
Можайский,Mozhajskoe
Молжаниновский,Molzhaninovskoe
Москворечье-Сабурово,Moskvorech'e-Saburovo
Московский,Poselenie Moskovskij
Нагатино-Садовники,Nagatino-Sadovniki
Нагатинский Затон,Nagatinskij Zaton
Нагорный,Nagornoe
Некрасовка,Nekrasovka
Нижегородский,Nizhegorodskoe
Новогиреево,Novogireevo
Новокосино,Novokosino
Ново-Переделкино,Novo-Peredelkino
Новофёдоровское,Poselenie Novofedorovskoe
Обручевский,Obruchevskoe
Орехово-Борисово Северное,Orehovo-Borisovo Severnoe
Орехово-Борисово Южное,Orehovo-Borisovo Juzhnoe
Останкинский,Ostankinskoe
Отрадное,Otradnoe
Очаково-Матвеевское,Ochakovo-Matveevskoe
Первомайское,Poselenie Pervomajskoe
Перово,Perovo
Печатники,Pechatniki
Покровское-Стрешнево,Pokrovskoe Streshnevo
Преображенское,Preobrazhenskoe
Пресненский,Presnenskoe
Проспект Вернадского,Prospekt Vernadskogo
Раменки,Ramenki
Роговское,Poselenie Rogovskoe
Ростокино,Rostokino
Рязановское,Poselenie Rjazanovskoe
Рязанский,Rjazanskij
Савёлки,Savelki
Савёловский,Savelovskoe
Свиблово,Sviblovo
Северное Бутово,Severnoe Butovo
Северное Измайлово,Severnoe Izmajlovo
Северное Медведково,Severnoe Medvedkovo
Северное Тушино,Severnoe Tushino
Северный,Severnoe
Силино,Silino
Сокол,Sokol
Соколиная Гора,Sokolinaja Gora
Сокольники,Sokol'niki
Солнцево,Solncevo
Сосенское,Poselenie Sosenskoe
Старое Крюково,Staroe Krjukovo
Строгино,Strogino
Таганский,Taganskoe
Тверской,Tverskoe
Текстильщики,Tekstil'shhiki
Тёплый Стан,Teplyj Stan
Тимирязевский,Timirjazevskoe
Троицк,Troickij okrug
Тропарёво-Никулино,Troparevo-Nikulino
Филёвский Парк,Filevskij Park
Фили-Давыдково,Fili Davydkovo
Филимонковское,Poselenie Filimonkovskoe
Хамовники,Hamovniki
Ховрино,Hovrino
Хорошёво-Мнёвники,Horoshevo-Mnevniki
Хорошёвский,Horoshevskoe
Царицыно,Caricyno
Черёмушки,Cheremushki
Чертаново Северное,Chertanovo Severnoe
Чертаново Центральное,Chertanovo Central'noe
Чертаново Южное,Chertanovo Juzhnoe
Щаповское,Poselenie Shhapovskoe
Щербинка,Poselenie Shherbinka
Щукино,Shhukino
Южное Бутово,Juzhnoe Butovo
Южное Медведково,Juzhnoe Medvedkovo
Южное Тушино,Juzhnoe Tushino
Южнопортовый,Juzhnoportovoe
Якиманка,Jakimanka
Ярославский,Jaroslavskoe
Ясенево,Jasenevo
