NAME,min,max
"""Мосрентген""",-13.9,-10.8
Академический,-4.6,0.4
Алексеевский,-4.6,-0.2
Алтуфьевский,-11.4,-8.1
Арбат,2.2,4.3
Аэропорт,-5.2,0.9
Бабушкинский,-10.9,-5.9
Басманный,-2.1,3.9
Беговой,-1.1,1.9
Бескудниковский,-10.7,-6.1
Бибирево,-13.3,-9.1
Бирюлёво Восточное,-15.4,-9.4
Бирюлёво Западное,-15.2,-10.8
Богородское,-6.6,-2.5
Братеево,-11.5,-8.1
Бутырский,-5.2,0.6
Вешняки,-9.0,-4.7
Внуково,-26.0,-18.7
Внуковское,-22.6,-15.4
Войковский,-8.9,-3.4
Вороновское,-53.3,-47.0
Воскресенское,-24.2,-19.5
Восточное Дегунино,-12.1,-6.3
Восточное Измайлово,-10.7,-6.2
Восточный,-26.3,-10.9
Выхино-Жулебино,-11.5,-4.4
Гагаринский,-4.8,0.9
Головинский,-9.9,-5.5
Гольяново,-11.7,-4.1
Даниловский,-1.9,2.9
Десёновское,-29.7,-23.1
Дмитровский,-13.3,-8.5
Донской,-1.4,2.2
Дорогомилово,-2.9,2.9
Замоскворечье,0.0,4.5
Западное Дегунино,-13.1,-7.1
Зюзино,-7.6,-3.1
Зябликово,-12.5,-8.8
Ивановское,-10.2,-6.2
Измайлово,-8.9,-2.5
Капотня,-13.2,-7.7
Киевский,-56.5,-53.1
Клёновское,-45.9,-43.9
Кокошкино,-29.2,-25.7
Коньково,-10.9,-5.7
Коптево,-7.4,-2.9
Косино-Ухтомский,-13.4,-8.1
Котловка,-5.0,-0.3
Краснопахорское,-37.9,-32.4
Красносельский,-0.6,3.2
Крылатское,-11.0,-4.1
Крюково,-35.6,-29.8
Кузьминки,-6.7,-1.7
Кунцево,-12.6,-4.9
Куркино,-18.5,-13.8
Левобережный,-12.5,-7.7
Лефортово,-2.9,1.8
Лианозово,-13.9,-9.8
Ломоносовский,-6.5,-2.9
Лосиноостровский,-12.0,-7.2
Люблино,-9.4,-3.4
Марушкинское,-32.5,-25.1
Марфино,-7.0,-2.3
Марьина Роща,-2.3,1.9
Марьино,-9.9,-5.4
Матушкино,-34.5,-30.8
Метрогородок,-8.8,-4.7
Мещанский,0.0,3.9
Митино,-16.7,-10.8
Михайлово-Ярцевское,-45.5,-40.2
Можайский,-11.1,-4.8
Молжаниновский,-23.4,-21.4
Москворечье-Сабурово,-9.6,-5.1
Московский,-20.7,-9.9
Нагатино-Садовники,-5.9,-1.1
Нагатинский Затон,-5.0,0.0
Нагорный,-7.6,-0.4
Некрасовка,-15.9,-11.9
Нижегородский,-4.2,0.9
Новогиреево,-9.0,-3.4
Новокосино,-11.7,-7.3
Ново-Переделкино,-17.3,-12.4
Новофёдоровское,-52.3,-44.9
Обручевский,-10.0,-3.7
Орехово-Борисово Северное,-12.0,-8.2
Орехово-Борисово Южное,-13.8,-10.0
Останкинский,-4.6,-0.1
Отрадное,-10.6,-5.3
Очаково-Матвеевское,-10.6,-3.0
Первомайское,-37.3,-27.9
Перово,-7.8,-2.3
Печатники,-7.4,-1.6
Покровское-Стрешнево,-11.4,-5.6
Преображенское,-6.2,-0.8
Пресненский,-1.1,4.8
Проспект Вернадского,-7.9,-4.8
Раменки,-7.4,0.9
Роговское,-67.0,-62.8
Ростокино,-6.2,-2.9
Рязановское,-29.9,-22.5
Рязанский,-6.4,-1.0
Савёлки,-33.5,-28.8
Савёловский,-2.7,1.0
Свиблово,-8.6,-5.0
Северное Бутово,-16.7,-12.8
Северное Измайлово,-10.7,-4.6
Северное Медведково,-12.2,-8.3
Северное Тушино,-13.8,-9.3
Северный,-19.2,-12.5
Силино,-34.9,-31.6
Сокол,-6.6,-1.9
Соколиная Гора,-4.9,-0.4
Сокольники,-3.6,1.0
Солнцево,-15.5,-9.1
Сосенское,-20.9,-13.5
Старое Крюково,-33.7,-30.6
Строгино,-11.6,-7.3
Таганский,0.0,3.4
Тверской,0.0,4.8
Текстильщики,-5.4,-0.1
Тёплый Стан,-13.0,-8.1
Тимирязевский,-7.3,-0.9
Троицк,-33.9,-27.7
Тропарёво-Никулино,-11.2,-6.0
Филёвский Парк,-4.5,0.0
Фили-Давыдково,-6.9,-2.2
Филимонковское,-25.6,-19.8
Хамовники,-1.1,4.3
Ховрино,-12.2,-7.4
Хорошёво-Мнёвники,-7.1,0.0
Хорошёвский,-4.1,1.0
Царицыно,-10.7,-6.3
Черёмушки,-7.4,-2.6
Чертаново Северное,-9.7,-5.7
Чертаново Центральное,-11.8,-7.7
Чертаново Южное,-14.6,-9.3
Щаповское,-40.2,-32.8
Щербинка,-24.7,-19.7
Щукино,-8.3,-2.5
Южное Бутово,-23.4,-15.3
Южное Медведково,-10.6,-7.2
Южное Тушино,-13.2,-7.7
Южнопортовый,-1.6,2.6
Якиманка,0.0,4.9
Ярославский,-11.8,-5.5
Ясенево,-14.0,-8.9
